"Nombre de Cuenta", "Número de Cuenta", "Razon Social", "Nombre Comercial", "RUT", "GR", "Miembro de", "Tipo", "Página web", "EMAIL Principal", "Teléfono Principal", "Facturación Anual", "Celular", "Email (Alternativo)", "Teléfono Secundario", "Fecha Creación Empresa", "Aniversario", "Rubro", "Cantidad Empleados", "Sub Grupo de Actividad", "Modificado por", "Grupo de Actividad", "Exportador?", "Importador?", "RUT anterior", "Interviene DOCUMENTOS", "Empresa Familiar", "Socio CEF", "Fecha de Creación", "Asignado a", "Fuente", "No Enviar Email", "Responsable Pagos", "Fecha de Modificación", "Región / Localidad", "Dirección (Factura)", "Dirección (Envío)", "Ciudad (Factura)", "Ciudad (Envío)", "Código Postal (Factura)", "Código Postal (Envío)", "País (Factura)", "País (Envío)", "Departamento (Factura)", "Departamento (Envío)", "Descripción", "Número único", "Tipo de socio", "Estado"
"A BERTOLOTTI","ACC1853","A BERTOLOTTI SA","A BERTOLOTTI","215092230017","0","","Empresas Socias Directas","","administracion@bertolotti.com.uy","2292 2036","0.00000000","","","","","","Productos Metalúrgicos-Maquinaria-Construcción","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:10","Montevideo","","","","","","","","Uruguay","","","L. Viana","215092230017","TS01","VIG"
"PHILIP MORRIS URUGUAY","ACC1854","ABAL HERMANOS SA","PHILIP MORRIS URUGUAY","210125930011","0","","Empresas Socias Directas","www.pmi.com","Yocelyn.olmedo@pmi.com","26047110","0.00000000","94820667","","","","","Procesamiento y conservación de alimentos - bebidas y tabaco","Pequeña (5 a 19)","13","admin","1. Procesamiento y conservación de alimentos, bebidas y tabaco","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:10","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210125930011","TS01","VIG"
"ABB","ACC1855","ABB SAU","ABB","210144720019","0","","Empresas Socias Directas","www.new.abb.com/south-america/sobre-nosotros/quienes-somos/oficinas-sudamerica/uruguay","TATIANA.OTERO@UY.ABB.COM","24008844","0.00000000","","","","","","Tecnología-Telecomunicaciones- actividades conexas","Mediana (20 a 99)","Residual","admin","10. Comercio en general","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:10","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210144720019","TS02","VIG"
"Abbott Laboratories","ACC1856","Abbott Laboratories Uruguay SA","Abbott Laboratories","210133230015","0","","Empresas Socias Directas","www.abbott.com/homepage.html","paola.villarodriguez@abbot.com","26009966 int 109","0.00000000","","","","","","Industria Farmacéutica","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:11","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210133230015","TS02","VIG"
"Abdala Freccero Juan José","ACC1857","Abdala Freccero Juan José","Abdala Freccero Juan José","215257830015","0","","Empresas Socias Directas","","jabdala@cncs.com.uy","2408 5471","0.00000000","","","","","","Other","Micro (1 a 4)","","admin","","0","0","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:11","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","215257830015","TS01","SOLIC-BAJA"
"CADENA DE TIENDAS VEZZO y MASyMAS","ACC1858","ABILER S.A.","CADENA DE TIENDAS VEZZO y MASyMAS","213593130019","0","","Empresas Socias Directas","www.vezzo.uy","TRADING@VEZZO.COM.UY","23596581","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Grande (más 99)","4","admin","5. Industrias del Cuero, Vestimenta y Calzado","0","0","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:11","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","213593130019","TS02","VIG"
"ABITAB","ACC1859","ABITAB SA","ABITAB","211428940011","0","","Empresas Socias Directas","","ines.pelayo@abitab.com.uy","29240404","0.00000000","","","","","","Intermediación Financiera- Seguros- inversión","Grande (más 99)","7","admin","14. Intermediación financiera, seguros y pensiones","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:11","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211428940011","TS02","VIG"
"ABITOuy","ACC1860","AbitoUy SAS","ABITOuy","0","0","","","www.abito.com.uy","gonzalo@abito.com.uy","","0.00000000","94476605","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:11","","","","","","","","","","","","D. Villar","","",""
"ACODIKE","ACC1861","ACODIKE SUPERGAS SA","ACODIKE","210166690015","0","","Empresas Socias Directas","","ngonzalez@acodike.com.uy","23577777","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Grande (más 99)","21","admin","10. Comercio en general","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:11","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210166690015","TS01","VIG"
"ANCAP","ACC1862","ADMINISTRACION NACIONAL DE COMBUSTIBLES;ALCOHOLES Y PORTLAND","ANCAP","210475730011","0","","Empresas Socias Directas","","gerenciageneral@ancap.com.uy","1931 Int 9","0.00000000","","","","","","Industria-Energía-Minería","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210475730011","TS01","VIG"
